domain,category,score,first_seen,last_seen,ports,ip,url,type,file_hash
,THREATFOX,0.0,2025-10-30,2025-10-30,,152.136.103.50,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,152.136.103.50,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,123.57.209.167,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,123.57.209.167,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,123.57.209.167,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,123.57.209.167,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,38.162.117.244,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,38.162.117.244,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,34.30.114.60,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,34.30.114.60,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,5.181.156.234,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,192.227.173.59,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,138.199.147.128,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,176.65.134.16,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,193.233.112.46,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,38.102.8.135,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,158.94.209.164,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,217.114.10.85,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,168.245.201.71,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,168.245.201.71,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,168.245.201.74,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,168.245.201.74,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,106.15.192.7,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,106.15.192.7,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,196.251.114.201,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,196.251.114.201,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,103.173.226.98,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,103.173.226.98,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,8.152.100.155,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,8.152.100.155,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,35.229.219.235,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,35.229.219.235,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,34.143.155.172,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,34.143.155.172,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,34.87.144.137,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,34.87.144.137,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,3.24.213.227,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,3.24.213.227,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,3.77.95.11,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,3.77.95.11,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,35.194.35.60,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,35.194.35.60,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,84.247.191.4,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,84.247.191.4,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,213.232.229.214,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,213.232.229.214,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,139.162.114.227,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,139.162.114.227,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,35.184.92.76,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,35.184.92.76,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,15.206.45.85,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,15.206.45.85,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,34.69.19.152,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,34.69.19.152,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,45.145.228.179,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,45.145.228.179,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,13.213.60.180,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,13.213.60.180,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,209.182.238.101,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,209.182.238.101,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,34.174.229.200,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,34.174.229.200,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,20.224.21.19,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,20.224.21.19,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,34.132.98.183,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,34.132.98.183,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,3.142.94.100,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,3.142.94.100,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,220.79.56.176,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,220.79.56.176,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,69.62.80.16,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,69.62.80.16,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,91.217.90.45,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,91.217.90.45,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,43.155.166.206,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,43.155.166.206,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,47.236.19.197,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,47.236.19.197,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,34.67.160.108,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,34.67.160.108,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,144.172.109.53,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,144.172.109.53,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,3.80.85.142,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,3.80.85.142,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,102.117.166.235,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,102.117.166.235,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,8.130.79.38,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,8.130.79.38,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,154.8.156.39,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,154.8.156.39,,Intel::ADDR,
