domain,category,score,first_seen,last_seen,ports,ip,url,type,file_hash
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,116.99.175.194,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,118.194.249.186,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,118.196.86.191,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,118.216.88.229,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,119.148.49.82,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,120.193.9.169,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,120.48.125.245,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,120.48.24.187,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,124.221.11.123,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,124.228.201.31,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,124.239.153.90,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,125.137.115.145,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,1.255.171.167,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,128.14.232.142,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,129.151.171.7,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,130.12.182.110,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,130.211.100.134,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,130.211.102.114,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,130.211.51.232,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,130.211.52.176,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,134.122.102.174,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,134.122.40.85,,Intel::ADDR,
