domain,category,score,first_seen,last_seen,ports,ip,url,type,file_hash
,TweetFeed,0.0,2026-08-01,2026-08-01,,211.4.3.222,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,211.4.1.152,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,211.4.1.47,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,204.44.93.88,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,204.44.93.88,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,79.124.58.150,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,104.36.229.213,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,5.189.151.112,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,52.72.49.79,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,43.128.252.32,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,43.128.252.32,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,192.227.190.150,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,192.227.190.150,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,8.211.158.201,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,8.211.158.201,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,96.44.169.124,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,96.44.169.124,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,43.167.15.126,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,43.167.15.126,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,178.128.100.171,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,67.217.228.244,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,43.155.174.59,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,43.155.174.59,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,108.165.12.143,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,185.151.31.111,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,185.151.31.111,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,217.217.97.111,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,193.26.115.118,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,185.139.214.102,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,193.26.115.118,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,185.139.214.102,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,196.251.107.171,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,196.251.107.171,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,196.251.107.171,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,43.163.207.119,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,37.148.161.44,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,37.148.161.44,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,103.193.173.83,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,103.193.173.83,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,203.88.119.53,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,137.220.144.253,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,207.180.56.150,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,203.88.119.53,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,137.220.144.253,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,143.92.51.76,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,207.180.56.150,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,142.171.160.137,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,142.171.160.137,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,142.171.149.169,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,100.81.245.29,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,43.165.168.4,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,43.165.168.4,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,43.155.174.59,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,43.155.174.59,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,43.163.207.119,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,202.69.74.130,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,174.138.33.139,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,154.201.171.13,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,217.60.77.63,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,217.60.77.63,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,1.117.77.166,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,1.14.103.5,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,1.14.126.124,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,1.14.43.163,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,1.14.75.122,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,1.94.184.17,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,101.42.239.7,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,101.43.107.222,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,185.158.133.1,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,85.239.149.178,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,159.198.64.83,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,159.198.64.83,,Intel::ADDR,
,TweetFeed,0.0,2026-08-01,2026-08-01,,79.141.166.211,,Intel::ADDR,
